player_name,team,sport,birth_date,birth_location,active_status,gender,height_in_cm,weight_in_lb,team_rank,conference,division,player_rank,efficiency_nerd,efficiency_nf_eff,efficiency_fantasy,statistics_mpg,statistics_ppg,statistics_rpg,statistics_apg
Shai Gilgeous-Alexander,Oklahoma City Thunder,Basketball,1998-07-12,"Toronto, Ontario",True,M,198.0,180.0,3,Western Conference,Northwest,2,22.9,7.3,12.91,34.4,30.3,5.5,6.3
Giannis Antetokounmpo,Milwaukee Bucks,Basketball,1994-12-06,"Athens, Greece",True,M,211.0,242.0,7,Eastern Conference,Central,3,19.9,6.2,6.36,35.2,30.7,11.5,6.5
Anthony Davis,Los Angeles Lakers,Basketball,1993-03-11,"Chicago, Illinois",True,M,208.0,253.0,17,Western Conference,Pacific,5,14.3,4.3,13.71,35.8,24.8,12.8,3.5
Jayson Tatum,Boston Celtics,Basketball,1998-03-03,"St. Louis, Missouri, USA",True,M,203.0,209.0,1,Eastern Conference,Atlantic,6,13.5,4.1,7.50,35.8,27.0,8.2,4.9
Jalen Brunson,New York Knicks,Basketball,1996-08-31,"New Brunswick, New Jersey",True,M,185.0,190.0,8,Eastern Conference,Atlantic,7,13.2,4.0,4.57,35.2,28.0,3.6,6.7
Joel Embiid,Philadelphia 76ers,Basketball,1994-03-16,"Yaoundé, Cameroon",True,M,213.0,280.0,13,Eastern Conference,Atlantic,8,12.1,7.7,5.29,33.9,34.8,10.9,5.6
Domantas Sabonis,Sacramento Kings,Basketball,1996-05-03,"Portland, Oregon",True,M,211.0,240.0,19,Western Conference,Pacific,9,11.9,3.3,5.08,35.8,19.6,13.7,8.3
Jarrett Allen,Cleveland Cavaliers,Basketball,1998-04-21,"San Diego, California",True,M,211.0,243.0,9,Eastern Conference,Central,10,11.7,4.0,5.69,31.7,16.4,10.5,2.7
Rudy Gobert,Minnesota Timberwolves,Basketball,1992-06-23,"Saint-Quentin, France",True,M,216.0,245.0,2,Western Conference,Northwest,11,11.3,3.6,4.65,33.9,13.6,12.8,1.3
Kawhi Leonard,Los Angeles Clippers,Basketball,1991-06-29,"Los Angeles, California",True,M,200.99999999999997,225.0,6,Western Conference,Pacific,13,10.9,3.6,8.97,34.3,23.7,6.1,3.6
Devin Booker,Phoenix Suns,Basketball,1996-10-30,"Grand Rapids, Michigan",True,M,198.0,210.0,10,Western Conference,Pacific,14,10.7,3.7,4.55,35.7,27.3,4.7,7.0
Jimmy Butler,Miami Heat,Basketball,1989-09-14,"Houston, Texas, USA",True,M,201.0,231.0,14,Eastern Conference,Southeast,15,10.1,4.2,2.78,34.0,21.0,5.3,4.9
Tyrese Haliburton,Indiana Pacers,Basketball,2000-02-29,"Milwaukee, Wisconsin, U.S.",True,M,196.0,185.0,16,Eastern Conference,Central,16,8.6,3.2,5.81,32.3,20.2,3.9,11.0
Kevin Durant,Phoenix Suns,Basketball,1988-09-29,"Washington, D.C.",True,M,208.0,240.0,10,Western Conference,Pacific,17,8.3,2.5,7.75,37.1,27.4,6.7,5.2
LeBron James,Los Angeles Lakers,Basketball,1984-12-30,"Akron, Ohio",True,M,206.0,250.0,17,Western Conference,Pacific,18,7.9,2.6,4.92,35.1,25.4,7.3,8.1
Zion Williamson,New Orleans Pelicans,Basketball,2000-07-06,"Salisbury, North Carolina",True,M,198.0,284.0,4,Western Conference,Southwest,19,7.8,3.0,-0.91,31.3,22.8,5.8,5.0
Chet Holmgren,Oklahoma City Thunder,Basketball,2002-05-01,"Minneapolis, Minnesota, U.S.",True,M,216.0,207.0,3,Western Conference,Northwest,19,7.8,2.6,6.48,29.8,16.6,7.9,2.5
Derrick White,Boston Celtics,Basketball,1994-07-02,"Parker, Colorado, USA",True,M,193.0,190.0,1,Eastern Conference,Atlantic,21,7.6,2.6,4.68,32.7,15.4,4.3,5.2
DeMar DeRozan,Chicago Bulls,Basketball,1989-08-07,"Compton, California",True,M,198.0,220.0,20,Eastern Conference,Central,22,7.3,2.0,6.49,37.7,23.5,4.3,5.3
Daniel Gafford,Dallas Mavericks,Basketball,1998-10-01,"El Dorado, Arkansas, U.S.",True,M,208.0,234.0,11,Western Conference,Southwest,23,7.2,3.2,3.25,24.8,10.9,7.8,1.6
Donovan Mitchell,Cleveland Cavaliers,Basketball,1996-09-07,"Elmsford, New York",True,M,185.0,215.0,9,Eastern Conference,Central,25,7.0,3.0,3.35,35.3,26.8,5.1,6.0
Stephen Curry,Golden State Warriors,Basketball,1988-03-14,"Akron, Ohio",True,M,188.0,185.0,15,Western Conference,Pacific,27,6.8,2.3,5.47,32.7,26.5,4.4,5.0
